Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.53     0.00     3141     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree()
  0.00      2.53     0.00     3140     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, int (*)(void*, void*)> > const*)
  0.00      2.53     0.00     3140     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      2.53     0.00     3140     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, int (*)(void*, void*)> > const*)
  0.00      2.53     0.00     2944     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~new_allocator()
  0.00      2.53     0.00     2944     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::destroy(std::pair<std::string const, std::string>*)
  0.00      2.53     0.00     2944     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::new_allocator()
  0.00      2.53     0.00     2944     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::~new_allocator()
  0.00      2.53     0.00     2944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::get_allocator() const
  0.00      2.53     0.00     2944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_get_Node_allocator() const
  0.00      2.53     0.00     2944     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~allocator()
  0.00      2.53     0.00     2944     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  0.00      2.53     0.00     2944     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::~allocator()
  0.00      2.53     0.00     2944     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::~map()
  0.00      2.53     0.00     2944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, false>::~_Rb_tree_impl()
  0.00      2.53     0.00     2944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      2.53     0.00     2944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      2.53     0.00     2944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::~_Rb_tree()
  0.00      2.53     0.00     2553     0.00     0.00  __gnu_cxx::new_allocator<char*>::max_size() const
